"Meal","Age","Alcohol","Bill","Tip","weekend"
"Dinner","Middle","Yes",34.5,4,0
"Dinner","SenCit","No",27.5,5,0
"Dinner","SenCit","Yes",16.16,2.5,0
"Dinner","Yadult","Yes",21.96,5.04,0
"Dinner","Yadult","Yes",49.5,10.5,0
"Dinner","SenCit","Yes",29.94,5,0
"Dinner","Middle","No",43.89,6.11,0
"Dinner","Middle","No",23.96,2,0
"Dinner","SenCit","Yes",57.35,7,0
"Dinner","Yadult","Yes",35.22,7.78,0
"Dinner","Middle","No",37.44,8,0
"Dinner","Middle","Yes",51.86,6,0
"Dinner","Middle","Yes",37.95,7.05,0
"Dinner","Yadult","Yes",32.53,4.8,0
"Dinner","Yadult","No",9.63,1,0
"Dinner","Yadult","No",12.19,5,0
"Dinner","Yadult","No",10.16,1.5,0
"Dinner","Yadult","No",9.63,2,0
"Dinner","Yadult","No",22.36,3.64,0
"Dinner","Yadult","No",9.63,1.5,0
"Dinner","Yadult","No",13.37,3,0
"Dinner","Yadult","No",9.63,2.37,0
"Dinner","Middle","Yes",42.16,5,0
"Dinner","Middle","No",51.74,13.26,0
"Dinner","Middle","Yes",105.57,20,0
"Dinner","SenCit","No",46.46,6.58,0
"Dinner","Middle","Yes",44.05,7.95,0
"Dinner","Middle","No",32.77,5,1
"Dinner","Middle","Yes",24.17,4.8,1
"Dinner","Middle","Yes",29.08,2.42,1
"Dinner","Middle","No",48.92,5,1
"Dinner","Middle","No",35.75,5,1
"Dinner",NA,"No",52.74,7.26,1
"Dinner","Middle","Yes",36.81,3.44,1
"Dinner","Middle","Yes",33.99,9.01,1
"Dinner","Middle","No",29.62,5,1
"Dinner","Middle","Yes",71.37,5,1
"Dinner","Middle","No",44.61,8.92,1
"Dinner","Middle","No",43.95,0,1
"Dinner","SenCit","No",51.15,9.85,1
"Dinner","Middle","No",36.69,6.31,1
"Dinner","Middle","Yes",39.69,6,1
"Dinner","Yadult","No",26.54,3.01,1
"Dinner","Yadult","No",35.62,8,1
"Late Night","Yadult","No",58.22,5.01,1
"Late Night","Yadult","No",5.77,0.87,1
"Late Night","Yadult","No",4.82,1,1
"Late Night","Yadult","No",13.36,3,1
"Late Night","Yadult","No",3.74,3,1
"Late Night","Yadult","No",8.56,2.44,1
"Late Night","Middle","Yes",22.5,5,1
"Lunch","Middle","Yes",30.78,3,1
"Lunch","Middle","Yes",50.39,10,1
"Lunch","Middle","No",21.4,3,1
"Lunch","SenCit","No",20.01,3,1
"Lunch","Middle","Yes",48.42,10,1
"Lunch","Middle","No",25.02,4.98,1
"Lunch","Middle","No",26.52,3.48,1
"Lunch","SenCit","No",11.56,2.5,1
"Lunch","Middle","Yes",8.9,1.1,1
"Lunch","Middle","No",12.92,3,1
"Lunch","Yadult","No",50.52,5.48,1
"Lunch","Middle","No",17.97,2.54,1
"Lunch","SenCit","No",26.73,6,1
"Lunch","Middle","No",27.16,5,1
"Lunch","Middle","No",78.03,15.97,1
"Dinner","Middle","No",31.1,5.9,1
"Dinner","SenCit","No",23.1,3.5,1
"Dinner","Middle","No",39.14,6,1
"Dinner","Middle","No",55.87,8,1
"Dinner","Middle","Yes",36.18,6,1
"Dinner","Middle","Yes",34.55,4,1
"Dinner","Middle","Yes",35.4,6,1
"Dinner","Middle","No",42.48,5.5,1
"Dinner","Middle","Yes",59.57,12,1
"Dinner","SenCit","No",81.04,11,1
"Dinner","Middle","No",39.58,3,1
"Dinner","Yadult","Yes",33.28,7,1
"Dinner","Middle","Yes",35.07,2.93,1
"Dinner","Middle","Yes",47.08,5,1
"Late Night","Middle","No",16.04,3,1
"Dinner","SenCit","No",38.28,3.72,0
