"Country","Status","Life.expectancy","Infant.deaths","Alcohol","Percentage.expenditure","Hepatitis.B","BMI","Polio","Diphteria","HIV.AIDS","GDP","Thinness.10.19.years","HDI","Schooling","Homicides","Fertility","Unemployment.rate..women"
"Afghanistan","Developing",63.763,7.04,0.017,10.96199989,66,23.4582953583624,73,66,0.002402275,509.2186613,17.2,0.494,3.6,9.02,4.64,12.654
"Angola","Developing",59.925,8.46,5.38,2.71314979,55,23.4065198176566,53,59,0.053566815,3506.072885,8.3,0.577,5.1,9.82,5.69,6.67
"Albania","Developing",78.194,0.91,4.67,4.91601992,99,26.8409914197282,98,98,0,4124.055726,1.2,0.782,10,3.78,1.71,15.51
"United Arab Emirates","Developing",77.47,0.9,2.17,3.4034214,99,28.9130833498149,99,99,0.000534132,38141.8468,5.3,0.862,10.8,0.82,1.75,9.93
"Argentina","Developing",76.221,1.09,8.31,9.00189686,92,27.9081354460362,87,92,0.000848811,12790.24247,1,0.822,9.9,6.23,2.29,10.331
"Armenia","Developing",74.64,1.33,3.82,9.95195866,94,26.4692013118568,96,94,0.000340583,3591.829276,2.1,0.749,11.7,3.8,1.63,18.662
"Australia","Developed",82.4487804878049,0.37,9.79,9.20071316,94,27.2957863503113,94,94,4.13378e-05,49971.13146,0.6,0.938,12.9,0.99,1.85,5.802
"Austria","Developed",81.6414634146342,0.36,11.7,10.3522625,87,25.7110633499576,87,87,0,45276.83144,1.9,0.906,12.1,0.53,1.49,5.542
"Azerbaijan","Developing",72.493,2.46,3.05,4.03655434,97,27.2003198744222,98,97,0.000204964,3880.738731,2.8,0.757,10.7,2.53,2.08,5.801
"Burundi","Developing",60.528,6.39,3.89,7.49265718,94,21.7313758863475,94,94,0.016209004,282.1931,7.3,0.418,3,6.37,5.7,1.781
"Belgium","Developed",81.4390243902439,0.39,9.42,10.28172588,97,26.2755270163256,98,98,0.0001765,41984.10303,1,0.915,11.8,1.44,1.79,7.562
"Benin","Developing",60.885,10.1,1.46,2.78015947,76,23.6231505822154,75,76,0.027317712,1087.287832,6.9,0.512,3.6,6.39,4.98,1.003
"Burkina Faso","Developing",60.354,8.45,7.11,7.02782106,91,22.2001560097245,91,91,0.012066687,688.2497,8,0.42,1.5,9.75,5.35,2.207
"Bangladesh","Developing",71.785,3.43,0.004,2.31178045,98,21.7268438828796,98,98,0.000601377,1401.620628,17.9,0.597,5.2,2.82,2.1,5.141
"Bulgaria","Developed",74.8121951219512,0.79,11.48,7.4799428,91,26.6262119441533,92,92,0.000140295,7548.855,1.9,0.81,11.8,1.41,1.56,6.974
"Bahrain","Developing",76.899,0.75,1.39,4.85823059,98,24.8437570625872,99,99,0.000701365,22608.48428,6.2,0.846,9.4,0.36,2.03,4.098
